Packets	50	55	60	65	70	75	80	85	90
Average Throughput (in Kbps)	15.2703	16.8275	15.6609	15.6605	10.8659	10.867	10.8674	10.8672	10.8664
Packet Delivery Ratio (in %)	83	86	88	89	92	94	94	95	95
Average E2E Delay (in ms)	772.722	642.686	414.702	378.969	176.269	113.938	87.9313	76.0407	72.1478
